Datetime,Close,High,Low,Open,Volume
2025-06-16 02:10:00+00:00,57100,57100,57000,57100,31685
2025-06-16 02:11:00+00:00,57000,57100,57000,57050,8411
2025-06-16 02:12:00+00:00,57100,57100,57000,57000,26446
2025-06-16 02:13:00+00:00,57100,57100,57000,57000,10495
2025-06-16 02:14:00+00:00,57100,57100,57000,57050,14181
2025-06-16 02:15:00+00:00,57050,57100,57000,57000,9321
2025-06-16 02:16:00+00:00,57050,57100,57000,57100,23513
2025-06-16 02:17:00+00:00,57100,57100,57000,57050,12667
2025-06-16 02:18:00+00:00,57050,57100,57000,57050,12553
2025-06-16 02:19:00+00:00,57050,57100,57000,57050,25829
2025-06-16 02:20:00+00:00,57100,57100,57050,57050,11387
2025-06-16 02:21:00+00:00,57100,57200,57000,57050,166081
2025-06-16 02:22:00+00:00,57100,57150,57000,57100,79522
2025-06-16 02:23:00+00:00,57050,57100,57000,57100,16773
2025-06-16 02:24:00+00:00,57100,57200,57000,57050,72375
2025-06-16 02:25:00+00:00,57100,57200,57000,57100,57013
2025-06-16 02:26:00+00:00,57000,57150,57000,57150,65174
2025-06-16 02:27:00+00:00,57100,57150,57000,57050,68247
2025-06-16 02:28:00+00:00,57100,57150,57000,57100,77811
2025-06-16 02:29:00+00:00,57100,57200,57000,57100,46374
2025-06-16 02:30:00+00:00,57100,57150,57100,57100,10551
2025-06-16 02:31:00+00:00,57100,57150,57100,57100,9511
2025-06-16 02:32:00+00:00,57050,57150,57000,57100,46067
2025-06-16 02:33:00+00:00,57100,57200,57000,57000,73428
2025-06-16 02:34:00+00:00,57100,57200,57000,57100,56311
2025-06-16 02:35:00+00:00,57100,57150,57100,57100,8051
2025-06-16 02:36:00+00:00,57150,57150,57100,57100,7175
2025-06-16 02:37:00+00:00,57050,57150,57000,57100,61955
2025-06-16 02:38:00+00:00,57100,57200,57000,57050,69426
2025-06-16 02:39:00+00:00,57150,57150,57100,57150,7985
2025-06-16 02:40:00+00:00,57150,57150,57100,57100,7362
2025-06-16 02:41:00+00:00,57100,57150,57100,57100,9987
2025-06-16 02:42:00+00:00,57100,57150,57100,57100,8814
2025-06-16 02:43:00+00:00,57200,57200,57100,57100,11340
2025-06-16 02:44:00+00:00,57200,57300,57100,57150,197270
2025-06-16 02:45:00+00:00,57150,57200,57100,57200,26931
2025-06-16 02:46:00+00:00,57200,57250,57150,57200,45004
2025-06-16 02:47:00+00:00,57200,57300,57100,57200,36430
2025-06-16 02:48:00+00:00,57250,57250,57200,57250,21542
2025-06-16 02:49:00+00:00,57200,57250,57200,57250,6362
2025-06-16 02:50:00+00:00,57200,57250,57100,57200,73146
2025-06-16 02:51:00+00:00,57200,57250,57150,57200,64971
2025-06-16 02:52:00+00:00,57200,57250,57200,57200,9217
2025-06-16 02:53:00+00:00,57200,57250,57200,57200,8355
2025-06-16 02:54:00+00:00,57200,57300,57200,57200,7034
2025-06-16 02:55:00+00:00,57200,57300,57200,57250,12278
2025-06-16 02:56:00+00:00,57200,57300,57200,57250,8143
2025-06-16 02:57:00+00:00,57200,57300,57200,57250,6773
2025-06-16 02:58:00+00:00,57300,57300,57200,57300,11799
2025-06-16 02:59:00+00:00,57250,57300,57200,57200,8087
